Descriptions,Ids,step
"The Last Wish raid takes place in the Dreaming City and revolves around fighting Taken corruption spread by Riven.",Wishoverview,1
"Before starting, establish communication for symbols and assigns roles.",WishGuide,1
"Load into the raid, enter the main doors, and wait for the hidden purple door to open.",WishGuide,2
"Kali encounter: each player selects a plate symbol such as infinity snake or cloud shape.",WishGuide,3
"Players stand on clean slices and avoid the boss’s targeted attacks.",WishGuide,4
"Killing the Taken Knight confirms a correct plate and removes its symbol.",WishGuide,5
"Incorrect plate activations spawn Taken Ogres and can cause wipes.",WishGuide,6
"After plate phase, all players stack mid for DPS using swords or burst supers.",WishGuide,7
"Players avoid wipe attack by identifying which doors under Kali are open.",WishGuide,8
"Repeat plate and DPS phases until Kali is defeated.",WishGuide,9
"Shuro Chi encounter: follow her through floors and damage her at each ritual altar.",WishGuide,10
"Players solve puzzle plates by forming patterns using teacup jumping grids.",WishGuide,11
"Four assigned puzzle solvers complete patterns simultaneously to progress floors.",WishGuide,12
"Beware Phalanxes that knock players off platforms.",WishGuide,13
"Jumping sections require patience, controlled movement, and route awareness.",WishGuide,14
"Morgeth encounter: manage Taken Strength stacks by picking tornadoes.",WishGuide,15
"Players cannot hold more than two stacks without dying.",WishGuide,16
"Use Eye of Riven relic to free trapped teammates who acquire Too Much Strength.",WishGuide,17
"Assign left and right side teams for stack management.",WishGuide,18
"Vault phase: navigate rock, stairs, and trees rooms using symbols and tunnels.",WishGuide,19
"Identify Penumbra and Antumbra buffs based on symbol left or right orientation.",WishGuide,20
"Dunk buffs on correct plates while avoiding reusing the same one twice.",WishGuide,21
"Kill Captains to shift darkness walls and open proper doors.",WishGuide,22
"Riven cheese: sit in wall room and watch shadow to determine attack timing.",WishGuide,23
"During shadow appearance, count down and attack final stand.",WishGuide,24
"Use Tractor Cannon to slow Riven and swords to deal huge damage.",WishGuide,25
"After killing Riven, enter her mouth and destroy the heart.",WishGuide,26
"Heart relay race: one player carries Riven’s heart while others clear adds.",WishGuide,27
"Runner swaps occur via teleportation countdown.",WishGuide,28
"Dream world players collect Taken Strength to reset runner timer.",WishGuide,29
"Final altar requires everyone to participate in heart carrying and strength collection.",WishGuide,30
"Success depends on strict communication, timing, and coordination.",WishGuide,31

"The Vault of Glass is a raid located on Venus involving Vex time manipulation.",VOGoverview,1
"the Opening encounter: is to hold three Vex plates simultaneously to form the spire.",VOGGuide,1
"Enemies that spawn include Hobgoblins, Minotaurs, Goblins, and Cyclopses.",VOGGuide,2
"the Secret chest becomes available after door opens. and you need to navigate towards it, find a guide online as this step is extensive but optional",VOGGuide,3
"next encounter is Conflux defense: waves of enemies try to sacrifice to confluxes in 1–3 locations.",VOGGuide,4
